읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설수,학원수 (개),지역 문화 복지 시설,영화관,박물관,미술관,공연장,공원수,도서관 수,녹지 만족도(10점 평균),소음,대기오염,휴식공간 및 녹지부족,수질오염,범죄 폭력,길거리의 쓰레기방치,주차질서
1106080,동대문구,청량리동,51.2,49.9,52.5,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106081,동대문구,용신동,43.8,43.8,43.9,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106082,동대문구,제기동,47.5,46.1,48.8,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106083,동대문구,전농1동,45.0,44.4,45.5,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106084,동대문구,전농2동,46.7,45.6,47.6,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106086,동대문구,답십리2동,46.6,45.7,47.6,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106087,동대문구,장안1동,45.0,44.4,45.6,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106088,동대문구,장안2동,43.5,42.5,44.4,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106089,동대문구,이문1동,43.0,42.3,43.5,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106090,동대문구,이문2동,46.1,45.3,46.9,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106091,동대문구,답십리1동,42.4,42.0,42.8,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1107052,중랑구,면목2동,47.7,46.8,48.5,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
